Tablereport_source_Cell1|Tablereport_source_Cell2|Tablereport_source_Cell3|Tablereport_source_Cell4|Tablereport_source_Cell5|Tablereport_source_Cell6|Tablereport_source_Cell7
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920250634208|Кафе «Пиратская Харчевня» (г. Севастополь, пл. 300 летия Российского Флота/наб. Клюкачева, 21/3)|129,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910218372865|Кофейня «Red Cup» (г. Симферополь, ул. Севастопольская, 62)|260,37|566,30|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910218372865|Кофейня «Red Cup» (г. Симферополь, ул. Шполянской, 5)|28,18|28,22|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010053|Крымские Вина (г. Ялта, ул. Толстого, 1/23, лит. Г)|93,60|54,69|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103012879|Магазин (г. Ялта, ул. Дзержинского, 10А)|332,61|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910900029300|Магазин «Beauty PRO» (г. Симферополь, пл. Амет Хана Султана, 7)|45,75|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910900029300|Магазин «Beauty PRO» (г. Симферополь, пр. Кирова, 57Ж )|397,40|592,10|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910900029300|Магазин «Beauty PRO» (г. Симферополь, ул. Козлова 8)|307,46|179,93|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910217995779|Магазин «Beerлога» (г. Симферополь, ул. Луговая/Совхозная, 6Н/2А)|11,74|3,59|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910807435120|Магазин «GRASS» (г. Феодосия, Еременко, 11)|1161,02|1032,39|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920159504619|Магазин «PIVNUSKA BAR» (г. Севастополь, пр. Генерала Острякова, 152А)|56,34|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911108019264|Магазин «PUDRA» (г. Керчь, ул. Орджоникидзе, 90)|238,61|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911108019264|Магазин «PUDRA» (г. Керчь, ул. Сморжевского, 4)|115,01|12,89|0,00|
