Tablereport_source_Cell1|Tablereport_source_Cell2|Tablereport_source_Cell3|Tablereport_source_Cell4|Tablereport_source_Cell5|Tablereport_source_Cell6|Tablereport_source_Cell7
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910910386572|Магазин «Макс Маг 3» (Симферопольский р н, с. Перевальное,  ул. Октябрьская, 46)|10,35|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910910386572|Магазин «Макс Маг 5» (Симферопольский р н, с. Перевальное,  ул. Октябрьская, 46)|65,70|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910307375843|Магазин «Маркет» (г. Ялта, пгт. Кореиз, ул. 16 Сентября, 2А)|232,86|489,09|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920300120754|Магазин «Мелочи жизни» (г. Севастополь, пр. Октябрьской Революции, 61 )|74,55|76,59|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9203006759|Магазин «Мечта» (г. Севастополь, ул. Истомина 14)|136,77|114,45|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103075974|Магазин «Минимаркет» (г. Ялта, пгт. Кореиз, ул. 16 сентября, 2А)|121,24|178,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911016165258|Магазин «Мишаня» (г. Евпатория, пр. Победы, 33)|59,48|105,63|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910803272309|Магазин «Мойдодыр» (г. Феодосия, ул. Еременко, 11 )|864,14|370,47|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910306767654|Магазин «Нахлебник» (г. Ялта, ул. К. Маркса, 4/Игнатенко, 2)|34,53|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103014530|Магазин «Нахлебник» (г. Ялта, ул. Игнатенко, д. 2)|17,10|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911101006001|Магазин «НАША РЯБА» (г. Керчь, ул. Пролетарская, 28)|85,05|636,27|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910503877938|МАГАЗИН «НЕПТУН»|165,37|223,17|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910600132296|Магазин «Овощи Фрукты» (г. Красноперекопск, ул. 50 лет Победы)|126,04|105,36|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910306128672|Магазин «Околица» (г. Ялта, ул. Ореховая, 32в)|218,87|276,91|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103012879|Магазин «Околица» (г. Ялта,  пгт. Массандра, ул. ЮБШ, 13)|706,92|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103012879|Магазин «Околица» (г. Ялта, Халтурина, 35)|150,04|245,65|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920100142905|Магазин «Патриот» (г. Севастополь, Фиолентовское шоссе, 6, 34 место)|20,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910200013939|Магазин «Пивная Лавка» (г. Симферополь, ул. Ялтинская, 169)|72,75|724,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920359642937|Магазин «Пивной Залив» (г. Севастополь, ул. Леваневского, 29а)|76,93|57,95|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911001311192|Магазин «Познайка» (г. Евпатория, пр. Победы, 67)|172,67|333,71|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010487|Магазин «Поликур» (г. Ялта, ул. Поликуровская, 2А)|75,96|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300088173|Магазин «Провиантъ» (г. Ялта, ул. Мисхорская, д. 2, корп. 2)|78,95|76,88|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300088173|Магазин «Провиантъ» (г. Ялта, ул. Сеченова/Красноармейская, 47/66 лит. А)|270,86|11,36|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300088173|Магазин «Провиантъ» (г. Ялта, ул. Толстого/Свердлова, 1/23)|201,26|162,15|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300088173|Магазин «Провиантъ» (пгт. Массандра, ул. Стахановская, д. 17)|224,13|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010053|Магазин «Провиантъ» (г. Ялта, пгт. Гаспра, Алупкинское шоссе, 17Б)|17,89|28,65|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010053|Магазин «Провиантъ» (г. Ялта, ул. Крупской, 48, кв. 2)|7,01|6,22|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010053|Магазин «Провиантъ» (г. Ялта, ул. Сеченова/Красноармейская, 47/66)|48,75|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010053|Магазин «Провиантъ» (пгт. Массандра, ул. Стахановская, 17)|163,20|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910703758913|Магазин «Продукты» (пгт. Новофедоровка, ул. Марченко, д. 2П)|112,83|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910900006430|Магазин «Продукты» (Симферопольский р н, с. Пионерское,  ул. Партизанская, 22Б)|146,12|77,09|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911108663849|Магазин «Продукты» (пгт. Ленино, Пушкина, 52)|1144,89|231,81|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910501032727|Магазин «Продукты» (Джанкойский р н, с. Павловка, ул. Мичурина, 48)|85,33|47,69|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910509032790|Магазин «Продукты» (г. Симферополь, ул. Артиллерийская, 18/51)|119,23|152,17|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920450733848|Магазин «Продукты» (г. Севастополь, ул. Руднего, 28 Б)|78,58|381,26|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920300107513|Магазин «Продукты» (г. Севастополь, ул. Мищенко, 9)|42,55|96,20|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|290116302042|Магазин «Продукты» (г. Севастополь, потреб. кооп. Горнодолинный, 73)|193,86|27,12|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910500070409|Магазин «Продукты» (Красногвардейский р н, с. Восход, пер. Переверзева, 5)|59,99|284,38|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920300023599|Магазин «Продукты» (г. Севастополь, пл. Захарова, 5, ТЦ Грация, пав.10)|142,57|101,55|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910700046259|Магазин «Продукты» (Сакский район, с. Орехово, ул. Центральная, 3)|328,94|214,03|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911006697711|Магазин «Продукты» (г. Симферополь, ул. Петровская Балка, 293)|37,19|108,39|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910916075750|Магазин «Продукты» (г. Старый Крым, ул. Чапаева, 22)|234,25|169,24|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910306382559|Магазин «Продукты» (г. Ялта, ул. ЮБШ, 42)|4,97|8,37|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910909232715|Магазин «Продукты» (Симферопольский р н, с. Трудовое, ул. Зеленая, 2)|264,68|169,33|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910200333174|Магазин «Продукты» (г. Симферополь, ул. Гагарина, 4)|414,47|1245,27|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910200333174|Магазин «Продукты» (г. Симферополь, ул. Дзюбанова, 2А)|213,69|499,70|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911000127391|Магазин «Продукты» (г. Евпатория, пр. Ленина, 31А)|217,76|444,34|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300154901|Магазин «Продукты» (г. Ялта, пгт. Массандра, Южнобережное шоссе, лит. Г)|16,65|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910703758913|Магазин «Продукты» (Сакский район, пгт. Новофедоровка, ул. Марченко, 2П)|152,85|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911107542256|Магазин «Продукты» (с. Красногорка, ул. Черниговская, б/н)|1,00|26,58|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910215264357|Магазин «Продукты» (г. Симферополь, ул. Широкая, 35)|296,05|15,97|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920400024853|Магазин «Продукты» (г. Севастополь, ул. Корабельная, 16)|157,13|254,15|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103006280|Магазин «Продукты» (г. Ялта, ул. Казанцева А.И., 3)|188,56|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103012879|Магазин «Продукты» (г. Ялта, ул. Богдановича Максима (ул. Крымская), д. 10 а)|277,62|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911115714572|Магазин «Севдам» (с. Ильичёво, ул. Шевченко, 3А)|593,55|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910306554208|Магазин «Сервия» (г. Ялта, ул. Блюхера, 4)|376,40|515,19|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910500136603|Магазин «Сказка» (с. Чкалово, ул. Центральная, 47а)|150,72|101,40|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920200033219|Магазин «Солнечный» (г. Севастополь, с. Терновка, Куйбышевская, 1Б)|192,82|120,13|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910503314090|Магазин «Соня» (Джанкойский р н, пгт. Вольное, ул. Токарева, 11)|141,75|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300024204|Магазин «Спектр» (г. Ялта, ул. Маршака, 9, лит. А)|128,85|147,98|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910506905421|Магазин «Строитель» (г. Джанкой, ул. Советская, 33)|2077,05|268,73|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920156710660|Магазин «Сундучек» (г. Севастополь, ул. Парковая, 12, оф. 13)|115,98|25,54|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911016165258|Магазин «Сытый муж» (г. Евпатория, ул. Чапаева, 18а, пом. №2)|39,09|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9203006269|Магазин «ТАНТАЛ» (г. Севастополь, ул. Генерала Жидилова, 26А)|2,77|10,79|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|344813550636|Магазин «Твоя корзинка» (г. Севастополь, пр. Генерала Острякова, 64)|175,60|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910900149815|Магазин «ТИП ТОП» (г. Белогорск, ул. Луначарского, 51А)|2,10|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911019126056|Магазин «Товары курортного спроса» (г. Евпатория, пгт. Заозерное, Аллея Дружбы, 56)|12,50|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910603610007|Магазин «У Иваныча» (Красноперекопский р н, с. Совхозное, ул. Трактовая, 17)|12,83|10,33|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910600135579|Магазин «Фортуна» (пгт. Раздольное, ул. Антона Кима, 2а)|766,27|683,93|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911101917340|Магазин «Фундук» (г. Керчь, ул. Ленина, 42)|165,18|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910310396498|Магазин «Хозтовары» (г. Ялта, пгт. Гаспра ул. Маратовская, 7)|225,85|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910506905421|Магазин «Хозяюшка» (г. Джанкой, ул. Советская, 25)|32,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910705145133|Магазин «Черномор» (Сакский р н, с. Фрунзе, ул. Гагарина, 1а)|175,30|216,89|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910705145133|Магазин «Черномор2» (с. Фрунзе, ул. Гагарина, 1а)|87,19|80,82|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103013103|Магазин «Шампань» (г. Ялта, ул. Блюхера, 22а)|121,95|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920400154605|Магазин «ШОК» (г. Севастополь, УЛ. СОЛОВЬЁВА, 12)|12,05|19,31|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910216986429|Магазин «Электротовары» (г. Алушта, ул. Виноградная, 1Л)|385,03|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911113284910|Магазин «Эмине» (с. Горностаевка, ул. Слободская, 9)|93,15|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9111003109|Магазин «ЮЛИЯ» (пгт. Ленино, ул. Пушкина, 2Б)|151,95|92,16|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910505325851|Магазин №1 (Джанкойский р н, с. Кондратьево, ул. Ленина, 28Б)|15,35|110,87|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910600078105|МагаЗинчик «Любимый» (г. Красноперекопск, ул. Менделеева, 75)|149,90|209,06|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010511|Медицинский центр (г. Ялта, ул Кирова, 39, корп. 53, офис 1)|280,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9111006580|Медицинский центр «МЕД СЕРВИС ПЛЮС» (Г. КЕРЧЬ, УЛ. МАРШАЛА ЕРЁМЕНКО, 7У)|8663,69|13,06|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910401042062|Минимаркет «AS» (Бахчисарайский р н, с. Новопавловка, ул. Севастопольская, 87)|50,43|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9203541932|ООО Апрель (г. Севастополь, Фиолентовское шоссе, 94а)|26,70|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920300112400|Павильон «Летний» (г. Севастополь, ул. Колобова, 19 21)|237,69|188,56|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920455595694|Парикмахерская «Nicole Style» (г. Севастополь, пр. Генерала Острякова, 238А)|50,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910500092949|Пиццерия «ТЕТ» (г. Джанкой, ул. Крымская, 29)|232,50|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9105003012|Пиццерия «ТЕТ» (пгт. Красногвардейское, ул. Энгельса/Советская, 9/9)|721,43|528,75|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9110020060|Респшн «ПетрОтель» (г. Евпатория, ул. Гоголя, 15А)|570,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910202925377|Ресторан «Sub&Burger» (г. Симферополь, ул. Желябова, 5)|453,32|421,15|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910810742869|Ресторан «Кампари» (г. Феодосия, ул. Шевченко, 46)|934,60|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9110020060|Ресторан «ПетрОтель» (г. Евпатория, ул. Гоголя, 15А)|163,35|603,52|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103082202|Ресторан «Чайка» (г. Ялта, пгт. Гурзуф, ул. Афанасия Никитина, 15)|250,42|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910703563777|Склад магазин (г. Евпатория, ул. Некрасова, 77)|333,23|351,54|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911100046883|СТО (г. Керчь, ул. Орджоникидзе, 151)|25,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920400118999|СТО «АВТОПРИОРИТЕТ» (г. Севастополь, Городское шоссе, 23)|1529,44|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910215520804|СТО «КРЫМ АВТО ГАЗ» (г. Симферополь, ул. Кубанская, 18)|668,55|129,07|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911113284910|Столовая Бистро «Аппетит» (с. Горностаевка, ул. Слободская, 9)|85,70|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102031621|Супермаркет «ROYAL» (г. Алушта, ул. Таврическая, 2 А)|1041,27|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9110003184|Супермаркет «Максимум» (г. Евпатория, ул. 9 Мая, 47А)|358,57|912,68|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9110003184|Торговый центр Невский (г. Евпатория, пр. Победы, 50, пом. 13, 14)|342,74|718,82|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102046219|Универсам «Яблоко» (ул. Кечкеметская, 1, г. Симферополь)|6140,81|3473,15|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102046160|Универсам «Яблоко» (пр. Героев Сталинграда, 3а, г. Симферополь)|8719,49|4045,83|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102046160|Универсам «Яблоко» (ул. Гагарина, 34, г. Симферополь)|357,12|556,99|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9204568528|Универсам «Яблоко» (ул. Вакуленчука, 29, г. Севастополь)|29207,62|18080,10|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102001994|Гипермаркет «МЕГА Яблоко» (г. Симферополь, Евпаторийское шоссе, 8)|55800,02|30798,78|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045695|Магазин «Яблоко» (ул. Севастопольская, 31Е, г. Симферополь)|5674,85|2476,59|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045695|Универсам «Яблоко» ( ул. Куйбышева/Киевская, 2/79, г. Симферополь)|5476,76|3141,95|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045695|Универсам «Яблоко» (пр. Победы, 56, г. Симферополь)|12118,26|7094,74|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045695|Универсам «Яблоко» (ул. Крымская 36А, г. Джанкой)|3561,05|1676,69|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045688|Магазин «Яблоко» (ул. Симферопольская, 20, г. Алушта)|5081,39|2702,91|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045688|Универсам «Яблоко» (пгт. Партенит, ул. Солнечная, 10а, г. Алушта)|3107,41|1891,05|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045688|Универсам «Яблоко» (пр. Победы, 209/1, г. Симферополь)|3402,79|3377,52|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045688|Универсам «Яблоко» (ул. Васильева, д. 23, г. Ялта)|7321,44|5457,34|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045688|Универсам «Яблоко» (ул. Лермонтова, 19, г. Симферополь)|6354,29|4762,37|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102045688|Универсам «Яблоко» (ул. Маршала Жукова, 21, г. Симферополь)|4180,97|2475,44|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102046610|Универсам «Яблоко» (пгт. Грэсовский, ул. Яблочкова, 19, г. Симферополь)|3947,01|2226,28|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102046610|Универсам «Яблоко» (ул. Гагарина, д. 9/91, г. Симферополь)|4615,96|2945,23|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9204568535|Магазин «Яблоко» (пр. Генерала Острякова, 64, г. Севастополь)|16191,69|10433,99|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9204568535|Магазин «Яблоко» (пр. Героев Сталинграда, 27, г. Севастополь)|16323,54|10539,05|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9204568535|Магазин «Яблоко» (пр. Октябрьской Революции, 38/12, г. Севастополь)|6272,61|4488,58|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9204568535|Магазин «Яблоко» (ул. Одесская, 29, г. Севастополь)|6045,09|2462,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102198557|Магазин «Яблоко» (г. Симферополь, 3в, пер. Пионерский)|3494,90|2035,25|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102198557|Универсам «Яблоко» (пр. Кирова, 36, г. Симферополь)|11368,66|6055,14|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102198557|Универсам «Яблоко» (ул. 60 лет Октября, д. 22, г. Симферополь)|13673,55|7945,14|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102198557|Универсам «Яблоко» (ул. Д. И. Ульянова, 22, г. Симферополь)|9485,40|6282,21|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102006953|Магазин «Яблоко» (ул. Дмитрия Ульянова, д. 1/2, г. Евпатория)|5280,21|2192,51|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102006953|Универсам «Яблоко» (ул. 9 героев, 2/30, г. Саки)|4255,35|1791,25|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102006953|Универсам «Яблоко» (ул. им. 9 го Мая, д. 49, г. Евпатория)|9665,08|7847,18|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102006953|Универсам «Яблоко» (ул. Ясная, 37а, г. Симферополь)|31546,02|19287,99|0,00|
